;Player;ShootOnTarget;ShootPer90;GoalPerShoot
652;Kerem Demirbay;8;1.72;0.03
653;Diego Demme;2;0.30;0.00
654;Diego Demme;1;0.40;0.25
655;Jason Denayer;2;0.21;0.00
656;Leander Dendoncker;5;0.64;0.20
657;Kevin Denkey;7;2.99;0.15
658;Stefano Denswil;1;0.40;0.00
659;Fabio Depaoli;4;1.36;0.00
660;Memphis Depay;19;4.07;0.17
661;Kastriot Dermaku;2;0.26;0.00
662;Daniele Dessena;5;0.87;0.11
663;Mattia Destro;2;1.95;0.00
664;Mattia Destro;4;4.20;0.00
665;Gerard Deulofeu;22;2.70;0.05
666;Deyverson;1;1.76;0.00
667;Samuel Di Carmine;14;2.09;0.23
668;Federico Di Francesco;8;1.91;0.09
669;Giovanni Di Lorenzo;6;0.67;0.14
670;Ángel Di María;22;3.29;0.10
671;Boulaye Dia;18;1.94;0.15
672;Fousseni Diabaté;2;0.53;0.14
673;Moussa Diaby;23;2.08;0.12
674;Mouctar Diakhaby;1;0.06;0.00
675;Bafodé Diakité;5;0.72;0.18
676;Abdou Diallo;2;0.37;0.00
677;Habib Diallo;26;2.95;0.15
678;Ibrahima Diallo;2;0.29;0.00
679;Moussa Diarra;0;0.00;
680;Raphael Dias Belloli;15;2.29;0.09
681;Lucas Dias;0;0.00;
682;Amadou Diawara;3;0.53;0.00
683;Brahim Díaz;2;4.15;0.00
684;Víctor Díaz;1;0.50;0.06
685;Bakaye Dibassy;4;0.24;0.40
686;Eric Dier;1;0.54;0.00
687;Lucas Digne;5;0.86;0.00
688;Virgil van Dijk;14;0.79;0.17
689;Mitchell Dijks;0;0.00;
690;Javairô Dilrosun;6;1.31;0.21
691;Federico Dimarco;3;2.25;0.00
692;Federico Dimarco;0;3.33;0.00
693;Tristan Dingomé;1;0.91;0.00
694;Lois Diony;8;1.89;0.14
695;Issa Diop;6;0.49;0.20
696;Papakouli Diop;7;1.04;0.04
697;Assane Dioussé;1;0.75;0.00
698;Axel Disasi;2;0.56;0.07
699;Tiago Djaló;0;0.00;
700;Djené;1;0.15;0.00
701;Moussa Djenepo;7;1.94;0.10
702;Koffi Djidji;0;0.00;
703;Alexander Djiku;6;0.87;0.05
704;Berat Djimsiti;3;0.71;0.09
705;Naïs Djouahra;0;3.10;0.00
706;Marko Dmitrović;1;0.03;0.00
707;Matt Doherty;15;1.08;0.12
708;Kasper Dolberg;25;2.00;0.26
709;Keagan Dolly;2;2.43;0.00
710;Jaume Doménech;0;0.00;
711;Nicolás Domínguez;1;1.29;0.00
712;Giulio Donati;2;0.46;0.11
713;Ji Dong-won;0;0.00;
714;Anastasios Donis;7;2.22;0.00
715;Alfredo Donnarumma;13;2.03;0.13
716;Gianluigi Donnarumma;0;0.00;
717;Gabriel Dos Santos;3;0.69;0.06
718;Mathieu Dossevi;3;1.13;0.05
719;Bas Dost;17;1.95;0.25
720;Abdoulaye Doucouré;12;1.77;0.06
721;Mamadou Doucouré;0;0.00;
722;Moussa Doumbia;8;2.15;0.02
723;Souleyman Doumbia;0;0.00;
724;Souleyman Doumbia;0;0.00;
725;Thomas Doyle;1;5.63;0.00
726;Mohamed Dräger;3;0.93;0.07
727;Aleksandar Dragović;0;0.17;0.00
728;Bartłomiej Drągowski;0;0.00;
729;Julian Draxler;6;1.71;0.00
730;Dominick Drexler;8;1.13;0.15
731;Danny Drinkwater;0;0.69;0.00
732;Danny Drinkwater;0;0.00;
733;Josip Drmić;5;1.81;0.08
734;Domingos Duarte;4;0.29;0.30
735;Léo Duarte;0;0.67;0.00
736;Óscar Duarte;1;0.74;0.00
737;Rubén Duarte;8;0.68;0.00
738;Edgaras Dubickas;0;0.00;
739;Leo Dubois;0;0.33;0.00
740;Martin Dúbravka;0;0.00;
741;Ondrej Duda;3;1.24;0.00
742;Ondrej Duda;5;1.41;0.00
743;Shane Duffy;1;0.44;0.17
744;Haris Duljević;4;2.42;0.00
745;Paul Dummett;1;0.07;0.00
746;Alfred Duncan;5;1.52;0.07
747;Alfred Duncan;3;1.60;0.07
748;Lewis Dunk;10;0.84;0.10
749;Erik Durm;3;2.29;0.00
750;Riza Durmisi;1;0.56;0.00
751;Hugo Duro;3;1.43;0.17
752;Jean-Kevin Duverne;1;0.15;0.00
753;Paulo Dybala;35;4.18;0.10
754;Edin Džeko;46;3.94;0.13
755;Blerim Džemaili;4;2.06;0.06
756;Bruno Ecuele Manga;0;0.61;0.00
757;Simone Edera;7;3.17;0.07
758;Ederson;0;0.00;
759;John Egan;5;0.79;0.07
760;Johannes Eggestein;6;2.65;0.07
761;Maximilian Eggestein;11;1.32;0.02
762;Kingsley Ehizibue;4;0.46;0.08
763;Albin Ekdal;2;0.64;0.00
764;Harvey Elliot;0;0.00;
765;Elif Elmas;8;1.83;0.04
766;Ilay Elmkies;0;0.00;
767;Ahmed Elmohamady;1;0.44;0.20
768;Aritz Elustondo;1;0.48;0.00
769;Nico Elvedi;1;0.28;0.13
770;Rodrigo Ely;3;0.25;0.33
771;Adri Embarba;14;2.43;0.03
772;Breel Embolo;18;2.55;0.18
773;Emerson;4;0.73;0.13
774;Renaud Emond;1;1.23;0.00
775;Alan Empereur;0;0.21;0.00
776;Youssef En-Nesyri;18;2.53;0.10
777;Youssef En-Nesyri;8;2.37;0.19
778;Björn Engels;1;0.44;0.14
779;Sergi Enrich;6;1.45;0.03
780;Javier Eraso;4;1.10;0.00
781;Christian Eriksen;9;2.13;0.08
782;Christian Eriksen;9;3.20;0.04
783;Gonzalo Escalante;5;1.24;0.00
784;Aarón Escandell;0;0.00;
785;Sergio Escudero;6;0.93;0.13
786;Espeto;11;2.26;0.02
787;Bernardo Espinosa;8;0.88;0.14
788;Sebastiano Esposito;3;4.52;0.00
789;Esquerdo;0;0.00;
790;Alexander Esswein;1;0.85;0.00
791;Pervis Estupiñán;3;0.54;0.06
792;Oghenekaro Etebo;3;1.42;0.11
793;Beñat Etxebarria;2;1.14;0.00
794;Xabier Etxeita;2;0.44;0.00
795;Antony Evans;1;1.15;0.00
796;Jonny Evans;10;0.64;0.04
797;Edu Expósito;16;1.28;0.09
798;Valentin Eysseric;1;1.27;0.00
799;Valentin Eysseric;1;4.29;0.00
800;Łukasz Fabiański;0;0.00;
801;Fabinho;4;0.52;0.17
802;Fábio;0;0.43;0.00
803;Cesc Fàbregas;1;0.87;0.00
804;Fabricio;0;0.00;
805;Ralf Fährmann;0;0.00;
806;Fayçal Fajr;2;1.79;0.00
807;Luca Falbo;0;0.00;
808;Filippo Falco;22;2.55;0.07
809;Eliseo Falcon;0;0.00;
810;Wladimiro Falcone;0;0.00;
811;Simon Falette;0;0.00;
812;Iago Falque;2;2.65;0.00
813;Iago Falque;2;2.08;0.00
814;Akin Famewo;0;0.00;
815;Andri Fannar Baldursson;0;1.26;0.00
816;Paolo Faragò;4;0.87;0.08
817;Davide Faraoni;13;1.17;0.12
818;Mohamed Fares;1;1.28;0.00
819;Diego Farias;6;2.51;0.09
820;Ansu Fati;12;2.89;0.21
821;Julien Faussurier;5;0.45;0.20
822;Andrea Favilli;3;1.91;0.00
823;Federico Fazio;1;0.30;0.25
824;Aleix Febas;3;0.43;0.00
825;Zouhair Feddal;3;0.57;0.11
826;Ljubomir Fejsa;0;0.11;0.00
827;Nabil Fekir;40;3.45;0.06
828;Felipe;5;0.86;0.05
829;Luiz Felipe;1;0.36;0.13
830;Lucas Felippe;0;3.21;0.00
831;Ohis Felix Uduokhai;0;0.23;0.00
832;João Félix;18;3.30;0.09
833;Kiko Femenía;1;0.20;0.00
834;Zinedine Ferhat;14;1.80;0.07
835;Bruno Fernandes;14;3.04;0.10
836;Edimilson Fernandes;2;1.33;0.05
837;Gedson Fernandes;0;2.65;0.00
838;Gelson Fernandes;0;0.00;
839;Matheus Fernandes;0;1.08;0.00
840;Aitor Fernández;0;0.00;
841;Andrés Fernández;0;0.00;
842;Carlos Fernández;18;1.84;0.20
843;Federico Fernández;6;0.55;0.13
844;Gabriel Fernández;3;1.12;0.14
845;Joaquín Fernández;4;0.54;0.20
846;Fernandinho;2;0.64;0.00
847;Fernando;6;0.47;0.14
848;Juan Ferney Otero;6;1.35;0.06
849;Alex Ferrari;1;0.36;0.00
850;Facundo Ferreyra;6;1.10;0.14
851;Jordan Ferri;4;0.86;0.00
852;Oliver Fink;0;1.33;0.00
853;Alfreð Finnbogason;7;1.68;0.11
854;Roberto Firmino;37;3.01;0.09
855;Junior Firpo;1;0.36;0.25
856;John Fleck;12;1.14;0.16
857;Mark Flekken;0;0.00;
858;Sergio Floccari;5;1.62;0.06
859;Alessandro Florenzi;2;1.26;0.00
860;Alessandro Florenzi;1;0.96;0.00
861;Phil Foden;14;3.40;0.15
862;Mamadou Fofana;0;0.57;0.00
863;Seko Fofana;13;1.84;0.07
864;Wesley Fofana;1;0.44;0.17
865;Youssouf Fofana;4;1.34;0.07
866;Youssouf Fofana;2;1.03;0.00
867;Thomas Foket;1;0.30;0.00
868;Lamine Fomba;3;0.92;0.00
869;José Fonte;6;0.73;0.06
870;Pablo Fornals;12;1.53;0.05
871;Emil Forsberg;8;1.89;0.13
872;Hernâni Fortes;9;3.03;0.09
873;Ben Foster;1;0.03;0.00
874;Lyle Foster;0;2.90;0.00
875;Timothy Fosu-Mensah;0;0.66;0.00
876;Dimitri Foulquier;0;0.00;
877;Dimitri Foulquier;2;0.40;0.20
878;Juan Foyth;0;0.00;
879;Gianluca Frabotta;0;1.00;0.00
880;Raphael Framberger;0;0.08;0.00
881;Simon Francis;0;0.28;0.00
882;Mike Frantz;0;0.77;0.00
883;Ryan Fraser;12;1.18;0.04
884;Fred;10;1.66;0.00
885;Ryan Fredericks;0;0.12;0.00
886;Kieron Freeman;0;0.00;
887;Luke Freeman;0;0.74;0.00
888;Remo Freuler;7;0.73;0.11
889;Marco Friedl;3;0.49;0.08
890;Marvin Friedrich;5;0.90;0.07
891;Samúel Friðjónsson;0;0.00;
892;Jorge de Frutos;0;1.53;0.00
893;Christian Fuchs;1;0.58;0.00
894;Angelo Fulgini;16;1.94;0.03
895;Niclas Füllkrug;9;4.02;0.22
896;Ramiro Funes Mori;0;0.60;0.00
897;Daniel Fuzato;0;0.00;
898;Matteo Gabbia;2;0.53;0.00
899;Manolo Gabbiadini;35;3.85;0.11
900;Gabriel;0;0.00;
901;Ruben Gabrielsen;1;0.55;0.00
902;Mijat Gaćinović;7;2.15;0.00
903;Luca Gagliano;2;3.46;0.50
904;Roberto Gagliardini;17;1.70;0.12
905;Riccardo Gagliolo;8;1.07;0.10
906;Nicolás Gaitán;0;0.00;
907;Marvin Gakpa;2;2.50;0.00
908;Enric Gallego;7;2.15;0.14
909;Enric Gallego;1;1.65;0.00
910;Kévin Gameiro;10;1.08;0.32
911;Fran Gámez;2;0.76;0.00
912;Idrissa Gana Gueye;3;0.60;0.09
913;Ignatius Ganago;6;1.23;0.18
914;Ezequiel Garay;3;0.44;0.00
915;Dani García;0;0.42;0.00
916;David García;5;0.61;0.00
917;Eric García;1;0.23;0.00
918;Javi García;1;0.95;0.00
919;Manu García;7;0.92;0.00
920;Raúl García;3;0.71;0.00
921;Raúl García;0;0.00;
922;Raúl García;27;2.35;0.11
923;Rubén García;19;2.14;0.13
924;Unai García;1;0.34;0.50
925;Víctor García;1;2.05;0.50
926;James Garner;0;0.00;
927;Manuel Garrido;1;0.78;0.00
928;Mario Gaspar;1;0.64;0.00
929;Daniele Gastaldello;0;0.23;0.00
930;Dwight Gayle;10;2.44;0.17
931;Paulo Gazzaniga;0;0.00;
932;Jean-Philippe Gbamin;0;0.00;
933;Yann Gboho;1;0.80;0.50
934;David de Gea;0;0.00;
935;Theodor Gebre Selassie;3;0.41;0.18
936;Dennis Geiger;1;1.11;0.00
937;Jérémy Gélin;0;0.29;0.00
938;Christian Gentner;12;1.33;0.08
939;Yannick Gerhardt;4;1.20;0.18
940;Valère Germain;4;1.40;0.10
941;Gervinho;22;2.22;0.13
942;Anwar El Ghazi;19;2.19;0.06
943;Rachid Ghezzal;2;1.20;0.09
944;Andrea Ghezzi;0;4.86;0.00
945;Paolo Ghiglione;5;1.10;0.00
946;Andrea Ghion;0;1.87;0.00
947;Saman Ghoddos;3;2.34;0.17
948;Faouzi Ghoulam;2;0.96;0.00
949;Morgan Gibbs-White;0;1.40;0.00
950;Niko Gießelmann;3;0.61;0.07
951;Rafał Gikiewicz;1;0.06;0.00
952;José Antonio Martínez Gil;0;0.15;0.00
953;Billy Gilmour;0;0.46;0.00
954;Daniel Ginczek;6;2.81;0.13
955;Matthias Ginter;7;0.62;0.05
956;Andrei Girotto;6;0.99;0.04
957;Olivier Giroud;19;3.53;0.21
958;Klaus Gjasula;4;0.55;0.14
959;Kamil Glik;4;0.52;0.08
960;Serge Gnabry;40;3.94;0.13
961;Joris Gnagnon;1;0.49;0.00
962;Eddy Gnahoré;0;0.64;0.00
963;Ben Godfrey;5;0.51;0.00
964;Diego Godín;2;0.61;0.09
965;Akaki Gogia;0;0.74;0.00
966;Mauro Goicoechea;0;0.00;
967;Edoardo Goldaniga;4;0.69;0.17
968;Benjamin Goller;0;0.62;0.00
969;Pierluigi Gollini;0;0.00;
970;Aleksandr Golovin;14;1.66;0.08
971;André Gomes;0;0.31;0.00
972;Angel Gomes;0;0.00;
973;Ibai Gómez;5;1.81;0.00
974;Joe Gomez;0;0.04;0.00
975;Maxi Gómez;19;1.64;0.23
976;Moi Gómez;14;1.44;0.14
977;Papu Gómez;41;3.04;0.07
978;Sergi Gómez;0;0.38;0.00
979;Alfred Gomis;0;0.00;
980;Maxime Gonalons;3;0.36;0.00
981;Mathieu Goncalves;0;0.00;
982;Jérôme Gondorf;1;1.50;0.00
983;Álvaro González;3;0.72;0.00
984;Bruno González;0;0.00;
985;Bruno González;0;0.20;0.00
986;Édgar González;1;0.79;0.00
987;Gonzalo;0;0.00;
988;Anthony Gordon;1;1.23;0.00
989;Leon Goretzka;15;2.32;0.15
990;Andoni Gorosabel;1;0.13;0.00
991;Robin Gosens;20;1.79;0.17
992;Dan Gosling;6;0.85;0.25
993;Mario Götze;3;1.21;0.29
994;Prince-Désir Gouano;0;0.00;
995;Amine Gouiri;0;0.00;
996;Jeffrey Gouweleeuw;0;0.00;
997;Max Gradel;11;1.98;0.03
998;Samuel Grandsir;8;1.75;0.10
999;Esteban Granero;7;1.33;0.14
1000;Alberto Grassi;2;1.12;0.13
1001;Andre Gray;6;2.26;0.11
1002;Demarai Gray;6;3.04;0.10
1003;Jack Grealish;22;2.00;0.11
1004;Mason Greenwood;20;2.59;0.26
1005;Michael Gregoritsch;0;1.19;0.00
1006;Michael Gregoritsch;7;2.61;0.04
1007;Clément Grenier;2;0.75;0.14
1008;Antoine Griezmann;23;1.94;0.16
1009;Vincenzo Grifo;0;0.00;
1010;Vincenzo Grifo;17;2.67;0.06
1011;Florian Grillitsch;1;0.64;0.00
1012;Jérémy Grimm;0;0.00;
1013;Arnaut Groeneveld;4;1.86;0.00
1014;Christian Groß;0;0.31;0.00
1015;Pascal Groß;9;1.45;0.07
1016;Carlos Gruezo;0;0.61;0.00
1017;Marko Grujić;13;1.30;0.11
1018;Vicente Guaita;0;0.00;
1019;Andrés Guardado;4;0.53;0.00
1020;Sergi Guardiola;19;1.83;0.15
1021;Nemanja Gudelj;1;0.52;0.00
1022;Gonçalo Guedes;9;1.64;0.09
1023;Mattéo Guendouzi;5;0.57;0.00
1024;Raphaël Guerreiro;15;1.54;0.20
1025;Adrián Guerrero;0;0.00;
1026;Ander Guevara;0;0.29;0.00
1027;Babacar Guèye;0;1.64;0.00
1028;John Guidetti;0;1.87;0.00
1029;Josuha Guilavogui;6;0.96;0.00
1030;Frederic Guilbert;3;0.35;0.00
1031;Hugo Guillamón;0;0.00;
1032;Bruno Guimarães;0;0.67;0.00
1033;Sehrou Guirassy;16;1.97;0.14
1034;Rafik Guitane;0;0.00;
1035;Péter Gulácsi;0;0.00;
1036;Manuel Gulde;2;0.92;0.07
1037;Sinan Gümüş;2;2.81;0.00
1038;İlkay Gündoğan;6;1.38;0.03
1039;Angus Gunn;0;0.00;
1040;Christian Günter;9;0.89;0.07
1041;Koray Günter;1;0.20;0.00
1042;Régis Gurtner;0;0.00;
1043;Luiz Gustavo;0;0.95;0.00
1044;Ismael Gutiérrez;0;0.00;
1045;Jonathan de Guzmán;0;1.03;0.00
1046;Janik Haberer;4;0.73;0.14
1047;Alexander Hack;1;0.78;0.00
1048;Munir El Haddadi;14;3.17;0.11
1049;André Hahn;4;1.92;0.07
1050;Amadou Haidara;6;2.14;0.00
1051;Achraf Hakimi;20;1.26;0.13
1052;Erling Håland;20;2.96;0.37
1053;Sébastien Haller;27;2.18;0.13
1054;Marcel Halstenberg;9;1.11;0.10
1055;Romain Hamouma;12;2.18;0.29
1056;Samir Handanović;0;0.00;
1057;Grant Hanley;2;0.50;0.00
1058;Lukáš Haraslín;2;2.58;0.09
1059;Amine Harit;11;1.16;0.19
1060;Martin Harnik;0;0.00;
1061;Makoto Hasebe;0;0.00;
1062;Hans Hateboer;3;0.73;0.00
1063;Kortney Hause;3;1.17;0.05
1064;Kai Havertz;25;2.13;0.19
1065;Isaac Hayden;3;0.69;0.06
1066;Eden Hazard;14;1.59;0.05
1067;Thorgan Hazard;21;1.89;0.14
1068;Tom Heaton;0;0.00;
1069;Jonas Hector;9;1.07;0.14
1070;Dominique Heintz;2;0.15;0.00
1071;Dean Henderson;0;0.03;0.00
1072;Jordan Henderson;8;0.80;0.20
1073;Liam Henderson;0;0.92;0.00
1074;Jeff Hendrick;6;1.03;0.09
1075;Wayne Hennessey;0;0.00;
1076;Rouwen Hennings;23;2.49;0.16
1077;Benjamin Henrichs;1;1.01;0.00
1078;Dalbert Henrique;6;0.65;0.00
1079;Christophe Hérelle;3;0.41;0.60
1080;Mario Hermoso;2;0.22;0.00
1081;Aridane Hernández;4;0.48;0.21
1082;Javier Hernández;2;2.52;0.33
1083;Javier Hernández;6;2.61;0.08
1084;Juan Hernández;0;1.03;0.00
1085;Lucas Hernández;1;0.29;0.00
1086;Onel Hernández;9;1.95;0.03
1087;Theo Hernández;17;1.57;0.12
1088;Hernani;9;1.30;0.00
1089;Ander Herrera;2;0.99;0.17
1090;Héctor Herrera;1;1.12;0.00
1091;Sergio Herrera;0;0.00;
1092;Yangel Herrera;4;1.29;0.06
1093;Iago Herrerín;0;0.00;
1094;Patrick Herrmann;15;2.48;0.15
1095;Pablo Hervías;9;1.68;0.05
1096;Son Heung-min;39;2.94;0.14
1097;Gonzalo Higuaín;32;3.62;0.11
1098;Vitorino Hilton;0;0.43;0.00
1099;Martin Hinteregger;17;1.49;0.18
1100;George Hirst;1;24.55;0.00
1101;Marwin Hitz;0;0.00;
1102;André Hoffmann;4;0.48;0.15
1103;Nicolas Höfler;3;0.84;0.04
1104;Jonas Hofmann;10;1.27;0.22
1105;Jonas Hofmann;0;0.00;
1106;Marco Höger;0;0.13;0.00
1107;Rob Holding;0;0.15;0.00
1108;José Holebas;3;0.53;0.00
1109;Lucas Höler;22;1.81;0.16
1110;Mason Holgate;5;0.53;0.00
1111;Nathan Holland;1;2.73;0.00
1112;Gerrit Holtmann;9;1.94;0.04
1113;Josué Homawoo;0;0.00;
1114;Franck Honorat;1;0.53;0.00
1115;Luca Horn;0;0.00;
1116;Timo Horn;0;0.00;
1117;Krisztofer Horváth;0;2.05;0.00
1118;Conor Hourihane;10;1.70;0.10
1119;Lukáš Hrádecký;0;0.00;
1120;Benjamin Hübner;4;1.04;0.04
1121;Florian Hübner;1;0.53;0.00
1122;Callum Hudson-Odoi;4;2.29;0.05
1123;Will Hughes;3;1.08;0.04
1124;Mats Hummels;4;0.80;0.04
1125;Uwe Hünemeier;1;0.74;0.00
1126;Adrien Hunou;14;2.16;0.24
1127;Jannik Huth;0;0.00;
1128;Elseid Hysaj;3;0.30;0.20
1129;Suk Hyun-jun;3;4.12;0.08
1130;Pierre Højbjerg;10;1.54;0.00
1131;Simone Iacoponi;2;0.29;0.20
1132;Iago;1;0.27;0.50
1133;Robert Ibáñez;1;1.34;0.13
1134;Roger Ibanez;0;0.44;0.00
1135;Jordon Ibe;0;0.00;
1136;Vedad Ibišević;13;2.08;0.21
1137;Vicente Iborra;3;0.65;0.05
1138;Didier Ibrahim Ndong;6;0.72;0.00
1139;Zlatan Ibrahimović;18;4.16;0.13
1140;Mauro Icardi;20;2.56;0.33
1141;Adam Idah;2;2.37;0.00
1142;Odion Ighalo;3;6.24;0.00
1143;Borja Iglesias;12;1.64;0.09
1144;Igor;1;0.27;0.00
1145;Igor;0;0.15;0.00
1146;Kelechi Iheanacho;18;3.19;0.15
1147;Luc Ihorst;0;0.00;
1148;Jonathan Ikone;14;1.58;0.06
1149;Yun Il-lok;0;0.74;0.00
1150;Josip Iličić;36;4.38;0.19
1151;Asier Illarramendi;0;0.42;0.00
1152;Stefan Ilsanker;0;1.29;0.00
1153;Stefan Ilsanker;2;0.75;0.29
1154;Giannelli Imbula;0;0.00;
1155;Ciro Immobile;56;3.61;0.17
1156;Edmilson Indjai;0;0.00;
1157;Roberto Inglese;11;2.70;0.17
1158;Danny Ings;35;2.89;0.23
1159;Marcus Ingvartsen;13;2.26;0.09
1160;Lorenzo Insigne;38;3.72;0.03
1161;Takashi Inui;11;1.74;0.05
1162;Artur Ioniță;3;0.85;0.00
1163;Alexander Isak;22;2.63;0.20
1164;Isco;13;1.75;0.04
1165;Nicolas Isimat-Mirin;3;0.21;0.33
1166;Jakub Iskra;0;1.15;0.00
1167;Gian-Luca Itter;0;0.00;
1168;Ander Iturraspe;0;0.00;
1169;Alex Iwobi;9;1.30;0.04
1170;Armando Izzo;4;0.40;0.08
1171;Jacobo;0;0.00;
1172;Phil Jagielka;0;0.00;
1173;Filip Jagiełło;1;0.81;0.00
1174;Alireza Jahanbakhsh;2;3.18;0.18
1175;Mato Jajalo;7;0.93;0.00
1176;Ismail Jakobs;9;0.97;0.11
1177;Christophe Jallet;1;0.42;0.25
1178;Daniel James;19;1.65;0.07
1179;Matty James;0;0.00;
1180;Reece James;3;1.07;0.00
1181;Marko Janković;0;0.78;0.00
1182;Jakub Jankto;9;1.76;0.05
1183;Daryl Janmaat;0;0.59;0.00
1184;Laurent Jans;0;0.46;0.00
1185;Tony Jantschke;0;0.36;0.00
1186;Adnan Januzaj;8;1.93;0.12
1187;Rune Jarstein;0;0.00;
1188;Jason;8;2.07;0.04
1189;Dennis Jastrzembski;1;1.02;0.00
1190;Corentin Jean;0;0.00;
1191;Benjamin Jeannot;3;2.69;0.00
1192;Tin Jedvaj;5;0.44;0.15
1193;Jemerson;0;0.00;
1194;Fredrik Jensen;3;1.18;0.17
1195;Jesé;0;0.00;
1196;Gabriel Jesus;43;4.52;0.14
1197;Juan Jesus;0;0.00;
1198;Raúl Jiménez;39;3.17;0.11
1199;Joaquín;11;1.40;0.19
1200;Joelinton;15;1.74;0.04
1201;Ben Johnson;0;0.33;0.00
1202;Fabian Johnson;0;0.00;
1203;Curtis Jones;2;4.29;0.17
1204;Phil Jones;1;1.33;0.00
1205;Frenkie de Jong;4;0.17;0.50
1206;Luuk de Jong;24;2.40;0.11
1207;Jony;1;0.76;0.00
1208;Joan Jordán;6;1.12;0.07
1209;Bruno Jordão;0;0.00;
1210;Jorginho;1;0.38;0.10
1211;Jesse Joronen;0;0.00;
1212;Willian José;19;2.60;0.19
1213;Joselu;28;2.62;0.12
1214;Jota;1;1.61;0.00
1215;Diogo Jota;26;2.72;0.10
1216;Vukašin Jovanović;0;0.00;
1217;Dejan Joveljić;0;0.00;
1218;Stevan Jovetić;9;4.19;0.09
1219;Luka Jović;3;2.51;0.17
1220;Juanmi;3;2.39;0.14
1221;David Juncà;0;0.00;
1222;Hamed Junior Traorè;23;2.58;0.09
1223;Lago Junior;8;1.56;0.03
1224;Vinicius Júnior;16;2.57;0.08
1225;James Justin;0;0.62;0.00
1226;Musa Juwara;4;2.94;0.20
1227;Mathias Jørgensen;0;0.00;
1228;Ozan Kabak;7;0.61;0.25
1229;Christian Kabasele;1;0.32;0.00
1230;Abdoul Kader Bamba;9;1.16;0.05
1231;Pavel Kadeřábek;9;0.95;0.08
1232;Florian Kainz;15;2.31;0.10
1233;Gaël Kakuta;12;1.89;0.05
1234;Lovre Kalinić;0;0.00;
1235;Nikola Kalinić;8;2.84;0.28
1236;Salomon Kalou;2;3.70;0.17
1237;Samuel Kalu;11;2.65;0.03
1238;Daichi Kamada;19;2.19;0.04
1239;François Kamano;2;0.69;0.20
1240;Boubacar Kamara;3;0.63;0.07
1241;Hassane Kamara;7;1.47;0.07
1242;Kevin Kampl;3;0.80;0.33
1243;Harry Kane;34;2.71;0.21
1244;Wilfried Kanga;0;2.65;0.00
1245;Lee Kangin;4;2.18;0.18
1246;N'Golo Kanté;6;0.94;0.17
1247;Stefanos Kapino;0;0.00;
1248;Wilfrid Kaptoum;0;1.39;0.00
1249;Kenan Karaman;11;2.06;0.19
1250;Yann Karamoh;4;1.73;0.09
1251;Mamoudou Karamoko;0;0.00;
1252;Florian Kastenmeier;0;0.00;
1253;Noah Katterbach;2;0.21;0.00
1254;Moise Kean;13;3.17;0.07
1255;Michael Keane;4;0.46;0.15
1256;Thilo Kehrer;3;0.75;0.25
1257;Jules Keita;0;1.71;0.00
1258;Naby Keïta;7;1.33;0.17
1259;Yannik Keitel;1;1.03;0.00
1260;Lloyd Kelly;0;0.14;0.00
1261;Martin Kelly;0;0.17;0.00
1262;Kenedy;3;2.15;0.07
1263;Jonjoe Kenny;5;0.36;0.18
1264;Franck Kessié;11;1.15;0.05
1265;Saîf-Eddine Khaoui;2;4.25;0.00
1266;Wahbi Khazri;8;3.52;0.04
1267;Rani Khedira;0;0.34;0.00
1268;Sami Khedira;3;1.59;0.00
1269;Kike;18;2.90;0.09
1270;Luca Kilian;0;0.07;0.00
1271;Max Kilman;0;0.00;
1272;Joshua Kimmich;13;0.89;0.14
1273;Presnel Kimpembe;2;0.44;0.00
1274;Joshua King;9;1.03;0.13
1275;Giorgos Kiriakopoulos;8;1.10;0.00
1276;Simon Kjær;1;0.31;0.00
1277;Simon Kjær;1;0.44;0.00
1278;Davy Klaassen;15;1.26;0.15
1279;Felix Klaus;6;2.55;0.00
1280;Ragnar Klavan;1;0.15;0.00
1281;Timm Klose;0;0.46;0.00
1282;Lukas Klostermann;6;0.41;0.25
1283;Justin Kluivert;11;2.02;0.12
1284;Lukas Klünter;0;0.10;0.00
1285;Robin Knoche;2;0.23;0.25
1286;Robin Koch;9;1.06;0.03
1287;Giorgi Kochorashvili;0;0.00;
1288;Jonathan Kodjia;0;1.54;0.00
1289;Kenan Kodro;2;0.99;0.25
1290;Dominik Kohr;11;1.68;0.00
1291;Koke;9;0.77;0.17
1292;Aleksandar Kolarov;16;2.27;0.07
1293;Sead Kolašinac;0;0.21;0.00
1294;Timothée Kolodziejczak;1;0.21;0.00
1295;Ghislain Konan;0;0.14;0.00
1296;Ibrahima Konaté;0;0.16;0.00
1297;Moussa Konaté;6;1.61;0.18
1298;Geoffrey Kondogbia;4;0.85;0.06
1299;Kouadio Koné;1;0.93;0.00
1300;Lamine Koné;2;0.49;0.13
1301;Moussa Koné;3;4.50;0.29
1302;Youssouf Koné;0;0.33;0.00
1303;Ezri Konsa;4;0.49;0.09
1304;Pascal Köpke;3;4.46;0.00
1305;Laurent Koscielny;1;0.12;0.00
1306;Filip Kostić;27;2.62;0.05
1307;Christian Kouamé;3;3.29;0.09
1308;Christian Kouamé;9;2.16;0.23
1309;Nianzou Kouassi;2;0.40;1.00
1310;Tomáš Koubek;0;0.00;
1311;Kalidou Koulibaly;4;0.64;0.00
1312;Efthimis Koulouris;15;2.34;0.10
1313;Jules Koundé;5;0.86;0.05
1314;Leonardo Koutris;0;0.00;
