;Player;Crosses;PenaltyWon;AerialWonRate
728;Bartłomiej Drągowski;0;0;
729;Julian Draxler;5;0;75.0
730;Dominick Drexler;38;0;36.0
731;Danny Drinkwater;1;0;50.0
732;Danny Drinkwater;0;0;0.0
733;Josip Drmić;3;0;23.1
734;Domingos Duarte;5;0;64.9
735;Léo Duarte;0;0;57.9
736;Óscar Duarte;0;0;48.1
737;Rubén Duarte;44;1;54.2
738;Edgaras Dubickas;0;0;
739;Leo Dubois;45;0;70.4
740;Martin Dúbravka;0;0;
741;Ondrej Duda;8;0;28.6
742;Ondrej Duda;6;0;38.9
743;Shane Duffy;1;0;78.8
744;Haris Duljević;13;0;25.0
745;Paul Dummett;14;0;60.3
746;Alfred Duncan;10;0;40.0
747;Alfred Duncan;5;0;38.5
748;Lewis Dunk;2;0;65.6
749;Erik Durm;14;0;33.3
750;Riza Durmisi;2;0;0.0
751;Hugo Duro;3;1;26.9
752;Jean-Kevin Duverne;0;0;46.9
753;Paulo Dybala;41;3;25.0
754;Edin Džeko;23;4;64.3
755;Blerim Džemaili;4;0;57.1
756;Bruno Ecuele Manga;1;0;72.6
757;Simone Edera;3;1;21.4
758;Ederson;0;0;
759;John Egan;3;0;70.9
760;Johannes Eggestein;10;0;14.3
761;Maximilian Eggestein;19;0;44.2
762;Kingsley Ehizibue;50;0;64.6
763;Albin Ekdal;5;2;58.8
764;Harvey Elliot;2;0;
765;Elif Elmas;3;0;12.5
766;Ilay Elmkies;0;0;
767;Ahmed Elmohamady;50;0;55.6
768;Aritz Elustondo;6;0;70.6
769;Nico Elvedi;1;0;60.0
770;Rodrigo Ely;0;0;70.4
771;Adri Embarba;58;0;24.0
772;Breel Embolo;5;2;30.0
773;Emerson;80;0;63.7
774;Renaud Emond;0;0;41.2
775;Alan Empereur;2;0;58.1
776;Youssef En-Nesyri;12;1;39.7
777;Youssef En-Nesyri;5;0;46.8
778;Björn Engels;3;0;67.4
779;Sergi Enrich;5;0;37.0
780;Javier Eraso;12;0;28.6
781;Christian Eriksen;24;0;25.0
782;Christian Eriksen;17;0;40.0
783;Gonzalo Escalante;10;2;49.0
784;Aarón Escandell;0;0;
785;Sergio Escudero;18;0;56.8
786;Espeto;52;0;21.7
787;Bernardo Espinosa;4;0;64.9
788;Sebastiano Esposito;0;0;11.1
789;Esquerdo;0;0;100.0
790;Alexander Esswein;8;0;85.7
791;Pervis Estupiñán;140;0;52.3
792;Oghenekaro Etebo;10;0;66.7
793;Beñat Etxebarria;5;0;55.6
794;Xabier Etxeita;1;0;60.7
795;Antony Evans;5;0;40.0
796;Jonny Evans;5;1;70.1
797;Edu Expósito;14;0;43.4
798;Valentin Eysseric;6;0;44.4
799;Valentin Eysseric;1;0;33.3
800;Łukasz Fabiański;0;0;
801;Fabinho;6;0;57.7
802;Fábio;15;0;55.9
803;Cesc Fàbregas;15;0;54.5
804;Fabricio;0;0;
805;Ralf Fährmann;0;0;
806;Fayçal Fajr;12;0;37.5
807;Luca Falbo;0;0;
808;Filippo Falco;98;0;13.0
809;Eliseo Falcon;0;0;100.0
810;Wladimiro Falcone;0;0;
811;Simon Falette;0;0;100.0
812;Iago Falque;2;0;0.0
813;Iago Falque;20;0;46.2
814;Akin Famewo;0;0;
815;Andri Fannar Baldursson;1;0;33.3
816;Paolo Faragò;33;0;65.9
817;Davide Faraoni;95;0;49.4
818;Mohamed Fares;9;0;44.4
819;Diego Farias;21;1;16.7
820;Ansu Fati;24;0;37.5
821;Julien Faussurier;66;0;40.5
822;Andrea Favilli;3;1;41.5
823;Federico Fazio;1;0;63.2
824;Aleix Febas;7;1;15.8
825;Zouhair Feddal;1;0;65.1
826;Ljubomir Fejsa;0;0;69.0
827;Nabil Fekir;42;5;36.1
828;Felipe;5;0;71.3
829;Luiz Felipe;4;0;54.5
830;Lucas Felippe;1;0;
831;Ohis Felix Uduokhai;0;0;62.6
832;João Félix;20;1;25.0
833;Kiko Femenía;56;1;67.7
834;Zinedine Ferhat;85;0;50.8
835;Bruno Fernandes;22;2;16.7
836;Edimilson Fernandes;9;0;53.8
837;Gedson Fernandes;3;0;0.0
838;Gelson Fernandes;1;0;32.4
839;Matheus Fernandes;1;0;26.7
840;Aitor Fernández;0;0;
841;Andrés Fernández;0;0;
842;Carlos Fernández;13;2;36.6
843;Federico Fernández;16;0;57.6
844;Gabriel Fernández;7;0;50.0
845;Joaquín Fernández;3;0;55.6
846;Fernandinho;3;0;67.0
847;Fernando;6;0;56.8
848;Juan Ferney Otero;28;1;44.0
849;Alex Ferrari;0;0;55.6
850;Facundo Ferreyra;2;0;39.5
851;Jordan Ferri;17;0;52.0
852;Oliver Fink;7;1;57.5
853;Alfreð Finnbogason;2;0;25.0
854;Roberto Firmino;16;0;28.2
855;Junior Firpo;8;0;52.6
856;John Fleck;58;0;32.4
857;Mark Flekken;0;0;
858;Sergio Floccari;16;0;30.1
859;Alessandro Florenzi;25;0;50.0
860;Alessandro Florenzi;22;0;20.0
861;Phil Foden;22;0;32.0
862;Mamadou Fofana;1;0;49.0
863;Seko Fofana;20;0;31.0
864;Wesley Fofana;2;0;76.9
865;Youssouf Fofana;6;0;66.7
866;Youssouf Fofana;5;0;53.3
867;Thomas Foket;45;0;40.7
868;Lamine Fomba;5;0;47.7
869;José Fonte;4;0;65.7
870;Pablo Fornals;37;0;15.5
871;Emil Forsberg;11;0;31.8
872;Hernâni Fortes;38;0;11.1
873;Ben Foster;0;0;100.0
874;Lyle Foster;0;0;33.3
875;Timothy Fosu-Mensah;2;0;33.3
876;Dimitri Foulquier;0;0;0.0
877;Dimitri Foulquier;11;0;36.1
878;Juan Foyth;0;0;100.0
879;Gianluca Frabotta;1;0;100.0
880;Raphael Framberger;15;0;54.8
881;Simon Francis;13;0;63.2
882;Mike Frantz;6;0;50.0
883;Ryan Fraser;98;0;27.8
884;Fred;27;0;33.3
885;Ryan Fredericks;53;0;41.8
886;Kieron Freeman;0;0;0.0
887;Luke Freeman;4;0;55.6
888;Remo Freuler;25;0;37.8
889;Marco Friedl;52;0;59.5
890;Marvin Friedrich;8;0;58.2
891;Samúel Friðjónsson;0;0;20.0
892;Jorge de Frutos;1;0;0.0
893;Christian Fuchs;11;0;56.4
894;Angelo Fulgini;32;0;40.9
895;Niclas Füllkrug;4;0;44.4
896;Ramiro Funes Mori;0;0;55.0
897;Daniel Fuzato;0;0;
898;Matteo Gabbia;0;0;70.0
899;Manolo Gabbiadini;29;1;27.6
900;Gabriel;0;0;
901;Ruben Gabrielsen;0;0;64.7
902;Mijat Gaćinović;13;0;35.7
903;Luca Gagliano;0;0;33.3
904;Roberto Gagliardini;11;1;56.5
905;Riccardo Gagliolo;56;0;37.0
906;Nicolás Gaitán;1;0;50.0
907;Marvin Gakpa;13;0;22.2
908;Enric Gallego;3;0;53.1
909;Enric Gallego;1;0;29.2
910;Kévin Gameiro;20;0;14.9
911;Fran Gámez;43;0;48.0
912;Idrissa Gana Gueye;5;0;56.7
913;Ignatius Ganago;10;2;33.3
914;Ezequiel Garay;3;0;61.4
915;Dani García;3;0;53.6
916;David García;0;0;72.2
917;Eric García;1;0;45.5
918;Javi García;0;0;71.4
919;Manu García;5;0;56.2
920;Raúl García;45;0;53.8
921;Raúl García;18;0;100.0
922;Raúl García;35;2;53.9
923;Rubén García;64;0;33.7
924;Unai García;3;0;61.0
925;Víctor García;2;0;50.0
926;James Garner;0;0;
927;Manuel Garrido;0;0;37.5
928;Mario Gaspar;23;0;53.0
929;Daniele Gastaldello;2;0;50.0
930;Dwight Gayle;5;0;33.3
931;Paulo Gazzaniga;0;0;
932;Jean-Philippe Gbamin;0;0;50.0
933;Yann Gboho;2;0;20.0
934;David de Gea;0;0;
935;Theodor Gebre Selassie;32;1;59.2
936;Dennis Geiger;13;0;28.6
937;Jérémy Gélin;1;0;50.0
938;Christian Gentner;25;1;48.4
939;Yannick Gerhardt;9;0;50.0
940;Valère Germain;24;1;35.7
941;Gervinho;23;0;18.2
942;Anwar El Ghazi;68;0;37.3
943;Rachid Ghezzal;20;1;53.3
944;Andrea Ghezzi;0;0;
945;Paolo Ghiglione;86;0;44.0
946;Andrea Ghion;0;0;
947;Saman Ghoddos;6;0;50.0
948;Faouzi Ghoulam;17;0;33.3
949;Morgan Gibbs-White;2;0;50.0
950;Niko Gießelmann;45;0;63.5
951;Rafał Gikiewicz;0;0;
952;José Antonio Martínez Gil;2;0;67.9
953;Billy Gilmour;0;0;37.5
954;Daniel Ginczek;4;0;43.8
955;Matthias Ginter;3;0;61.9
956;Andrei Girotto;2;0;56.1
957;Olivier Giroud;2;0;51.8
958;Klaus Gjasula;4;0;58.8
959;Kamil Glik;0;0;62.1
960;Serge Gnabry;73;0;22.7
961;Joris Gnagnon;2;0;69.7
962;Eddy Gnahoré;3;0;52.0
963;Ben Godfrey;2;0;66.1
964;Diego Godín;5;0;60.9
965;Akaki Gogia;4;0;80.0
966;Mauro Goicoechea;0;0;
967;Edoardo Goldaniga;10;0;46.8
968;Benjamin Goller;2;0;30.0
969;Pierluigi Gollini;0;0;
970;Aleksandr Golovin;40;0;50.0
971;André Gomes;8;0;46.4
972;Angel Gomes;0;0;
973;Ibai Gómez;37;0;25.0
974;Joe Gomez;5;0;62.1
975;Maxi Gómez;8;0;50.0
976;Moi Gómez;68;2;24.4
977;Papu Gómez;88;0;17.4
978;Sergi Gómez;1;0;51.1
979;Alfred Gomis;0;0;
980;Maxime Gonalons;1;0;57.4
981;Mathieu Goncalves;0;0;50.0
982;Jérôme Gondorf;0;0;50.0
983;Álvaro González;0;0;64.3
984;Bruno González;1;0;33.3
985;Bruno González;0;0;63.6
986;Édgar González;0;0;76.7
987;Gonzalo;0;0;
988;Anthony Gordon;8;0;0.0
989;Leon Goretzka;6;2;50.0
990;Andoni Gorosabel;22;0;52.4
991;Robin Gosens;72;0;65.2
992;Dan Gosling;3;0;42.3
993;Mario Götze;10;0;18.2
994;Prince-Désir Gouano;1;0;60.0
995;Amine Gouiri;0;0;
996;Jeffrey Gouweleeuw;2;0;53.7
997;Max Gradel;53;2;25.9
998;Samuel Grandsir;51;0;21.4
999;Esteban Granero;10;0;31.6
1000;Alberto Grassi;6;1;54.5
1001;Andre Gray;8;0;29.8
1002;Demarai Gray;22;1;30.0
1003;Jack Grealish;67;0;32.7
1004;Mason Greenwood;13;0;30.0
1005;Michael Gregoritsch;1;0;46.2
1006;Michael Gregoritsch;4;0;50.0
1007;Clément Grenier;7;0;68.8
1008;Antoine Griezmann;29;0;44.4
1009;Vincenzo Grifo;1;0;0.0
1010;Vincenzo Grifo;45;0;35.7
1011;Florian Grillitsch;8;0;56.7
1012;Jérémy Grimm;0;0;
1013;Arnaut Groeneveld;6;0;23.1
1014;Christian Groß;3;0;40.9
1015;Pascal Groß;65;0;31.3
1016;Carlos Gruezo;1;0;50.0
1017;Marko Grujić;4;0;66.2
1018;Vicente Guaita;0;0;0.0
1019;Andrés Guardado;9;0;33.3
1020;Sergi Guardiola;33;1;23.9
1021;Nemanja Gudelj;2;0;48.8
1022;Gonçalo Guedes;28;0;21.1
1023;Mattéo Guendouzi;6;1;37.9
1024;Raphaël Guerreiro;45;0;33.3
1025;Adrián Guerrero;2;0;
1026;Ander Guevara;2;0;43.8
1027;Babacar Guèye;0;0;33.3
1028;John Guidetti;0;0;50.0
1029;Josuha Guilavogui;3;0;65.9
1030;Frederic Guilbert;64;0;41.2
1031;Hugo Guillamón;1;0;35.3
1032;Bruno Guimarães;0;0;100.0
1033;Sehrou Guirassy;6;4;46.2
1034;Rafik Guitane;0;0;
1035;Péter Gulácsi;0;0;
1036;Manuel Gulde;7;0;54.9
1037;Sinan Gümüş;1;0;0.0
1038;İlkay Gündoğan;8;0;70.8
1039;Angus Gunn;0;0;
1040;Christian Günter;146;1;26.2
1041;Koray Günter;4;0;55.1
1042;Régis Gurtner;0;0;0.0
1043;Luiz Gustavo;1;0;50.0
1044;Ismael Gutiérrez;0;0;0.0
1045;Jonathan de Guzmán;6;0;50.0
1046;Janik Haberer;9;0;37.4
1047;Alexander Hack;0;0;63.3
1048;Munir El Haddadi;32;0;39.2
1049;André Hahn;15;0;58.7
1050;Amadou Haidara;7;0;46.9
1051;Achraf Hakimi;89;0;46.2
1052;Erling Håland;4;1;47.7
1053;Sébastien Haller;8;1;50.6
1054;Marcel Halstenberg;27;0;69.7
1055;Romain Hamouma;29;0;27.0
1056;Samir Handanović;0;0;
1057;Grant Hanley;1;0;73.3
1058;Lukáš Haraslín;3;0;40.0
1059;Amine Harit;20;1;22.6
1060;Martin Harnik;0;0;50.0
1061;Makoto Hasebe;1;0;49.1
1062;Hans Hateboer;61;0;53.8
1063;Kortney Hause;0;0;73.4
1064;Kai Havertz;28;0;41.0
1065;Isaac Hayden;27;0;57.3
1066;Eden Hazard;18;3;55.6
1067;Thorgan Hazard;46;0;35.4
1068;Tom Heaton;0;0;100.0
1069;Jonas Hector;23;0;52.1
1070;Dominique Heintz;9;0;55.8
1071;Dean Henderson;0;0;100.0
1072;Jordan Henderson;48;0;71.4
1073;Liam Henderson;3;0;66.7
1074;Jeff Hendrick;10;0;46.7
1075;Wayne Hennessey;0;0;
1076;Rouwen Hennings;27;0;35.3
1077;Benjamin Henrichs;15;0;52.9
1078;Dalbert Henrique;113;1;50.0
1079;Christophe Hérelle;11;0;53.3
1080;Mario Hermoso;5;0;56.5
1081;Aridane Hernández;3;0;72.5
1082;Javier Hernández;1;0;0.0
1083;Javier Hernández;2;0;38.9
1084;Juan Hernández;3;0;0.0
1085;Lucas Hernández;7;0;77.8
1086;Onel Hernández;26;0;11.5
1087;Theo Hernández;74;1;66.7
1088;Hernani;37;0;58.9
1089;Ander Herrera;5;0;44.4
1090;Héctor Herrera;12;0;80.0
1091;Sergio Herrera;0;0;
1092;Yangel Herrera;5;0;56.6
1093;Iago Herrerín;0;0;
1094;Patrick Herrmann;48;1;38.9
1095;Pablo Hervías;49;0;34.8
1096;Son Heung-min;29;1;19.0
1097;Gonzalo Higuaín;10;0;31.8
1098;Vitorino Hilton;4;1;65.2
1099;Martin Hinteregger;14;0;60.5
1100;George Hirst;0;0;80.0
1101;Marwin Hitz;0;0;0.0
1102;André Hoffmann;2;0;55.9
1103;Nicolas Höfler;5;1;63.9
1104;Jonas Hofmann;28;0;19.0
1105;Jonas Hofmann;0;0;
1106;Marco Höger;3;0;50.0
1107;Rob Holding;1;0;53.3
1108;José Holebas;32;0;66.0
1109;Lucas Höler;22;1;43.3
1110;Mason Holgate;2;0;57.5
1111;Nathan Holland;2;0;0.0
1112;Gerrit Holtmann;24;0;33.3
1113;Josué Homawoo;0;0;100.0
1114;Franck Honorat;42;0;36.8
1115;Luca Horn;0;0;
1116;Timo Horn;0;0;
1117;Krisztofer Horváth;0;0;0.0
1118;Conor Hourihane;45;1;52.4
1119;Lukáš Hrádecký;0;0;
1120;Benjamin Hübner;3;0;68.8
1121;Florian Hübner;1;0;55.2
1122;Callum Hudson-Odoi;49;0;17.6
1123;Will Hughes;32;0;47.2
1124;Mats Hummels;5;0;71.0
1125;Uwe Hünemeier;1;0;57.6
1126;Adrien Hunou;11;1;32.4
1127;Jannik Huth;0;0;
1128;Elseid Hysaj;30;0;37.5
1129;Suk Hyun-jun;1;0;51.8
1130;Pierre Højbjerg;25;0;54.8
1131;Simone Iacoponi;2;0;43.1
1132;Iago;12;0;38.5
1133;Robert Ibáñez;6;0;55.6
1134;Roger Ibanez;0;0;76.2
1135;Jordon Ibe;1;0;
1136;Vedad Ibišević;2;0;42.6
1137;Vicente Iborra;3;0;56.9
1138;Didier Ibrahim Ndong;19;0;34.8
1139;Zlatan Ibrahimović;23;0;70.3
1140;Mauro Icardi;5;1;30.4
1141;Adam Idah;0;0;30.8
1142;Odion Ighalo;0;0;0.0
1143;Borja Iglesias;10;1;43.0
1144;Igor;9;0;53.3
1145;Igor;2;0;91.7
1146;Kelechi Iheanacho;4;2;9.4
1147;Luc Ihorst;0;0;
1148;Jonathan Ikone;30;0;20.0
1149;Yun Il-lok;4;0;50.0
1150;Josip Iličić;34;2;12.0
1151;Asier Illarramendi;0;0;60.0
1152;Stefan Ilsanker;0;0;75.0
1153;Stefan Ilsanker;2;0;74.4
1154;Giannelli Imbula;0;0;50.0
1155;Ciro Immobile;24;5;26.1
1156;Edmilson Indjai;0;0;100.0
1157;Roberto Inglese;5;0;37.5
1158;Danny Ings;31;2;25.5
1159;Marcus Ingvartsen;13;0;47.1
1160;Lorenzo Insigne;75;0;33.3
1161;Takashi Inui;50;1;34.1
1162;Artur Ioniță;19;0;44.6
1163;Alexander Isak;8;0;32.8
1164;Isco;25;0;23.8
1165;Nicolas Isimat-Mirin;2;0;61.8
1166;Jakub Iskra;2;0;100.0
1167;Gian-Luca Itter;2;0;0.0
1168;Ander Iturraspe;0;0;60.0
1169;Alex Iwobi;34;0;31.8
1170;Armando Izzo;14;0;68.5
1171;Jacobo;0;0;0.0
1172;Phil Jagielka;1;0;73.3
1173;Filip Jagiełło;4;0;31.3
1174;Alireza Jahanbakhsh;20;0;0.0
1175;Mato Jajalo;16;0;55.9
1176;Ismail Jakobs;51;0;40.0
1177;Christophe Jallet;25;0;44.0
1178;Daniel James;72;1;23.5
1179;Matty James;0;0;
1180;Reece James;68;0;45.5
1181;Marko Janković;8;0;0.0
1182;Jakub Jankto;56;1;34.5
1183;Daryl Janmaat;20;0;50.0
1184;Laurent Jans;29;0;52.6
1185;Tony Jantschke;5;0;48.1
1186;Adnan Januzaj;42;0;35.0
1187;Rune Jarstein;0;0;
1188;Jason;44;0;38.5
1189;Dennis Jastrzembski;3;0;0.0
1190;Corentin Jean;1;0;
1191;Benjamin Jeannot;1;0;0.0
1192;Tin Jedvaj;8;0;54.5
1193;Jemerson;5;0;52.4
1194;Fredrik Jensen;2;0;31.6
1195;Jesé;0;0;
1196;Gabriel Jesus;5;0;35.4
1197;Juan Jesus;0;0;25.0
1198;Raúl Jiménez;30;2;39.8
1199;Joaquín;55;0;42.1
1200;Joelinton;9;0;39.2
1201;Ben Johnson;6;0;69.2
1202;Fabian Johnson;4;0;0.0
1203;Curtis Jones;0;0;40.0
1204;Phil Jones;1;0;70.6
1205;Frenkie de Jong;9;0;45.5
1206;Luuk de Jong;5;1;54.9
1207;Jony;87;0;16.7
1208;Joan Jordán;43;1;54.4
1209;Bruno Jordão;0;0;
1210;Jorginho;3;0;26.0
1211;Jesse Joronen;0;0;
1212;Willian José;10;0;40.3
1213;Joselu;15;1;65.7
1214;Jota;1;0;16.7
1215;Diogo Jota;36;0;36.0
1216;Vukašin Jovanović;0;0;56.3
1217;Dejan Joveljić;1;0;14.3
1218;Stevan Jovetić;5;0;41.2
1219;Luka Jović;2;0;45.5
1220;Juanmi;2;0;57.1
1221;David Juncà;11;0;100.0
1222;Hamed Junior Traorè;22;0;31.8
1223;Lago Junior;58;0;46.7
1224;Vinicius Júnior;40;1;44.4
1225;James Justin;26;0;35.7
1226;Musa Juwara;7;0;33.3
1227;Mathias Jørgensen;0;0;60.0
1228;Ozan Kabak;1;0;74.3
1229;Christian Kabasele;0;0;57.7
1230;Abdoul Kader Bamba;31;0;33.3
1231;Pavel Kadeřábek;94;0;54.7
1232;Florian Kainz;86;0;22.2
1233;Gaël Kakuta;45;0;28.0
1234;Lovre Kalinić;0;0;
1235;Nikola Kalinić;0;0;53.1
1236;Salomon Kalou;2;0;16.7
1237;Samuel Kalu;35;0;33.3
1238;Daichi Kamada;31;0;24.2
1239;François Kamano;13;1;21.1
1240;Boubacar Kamara;0;0;57.6
1241;Hassane Kamara;46;0;65.1
1242;Kevin Kampl;6;0;25.0
1243;Harry Kane;22;1;34.2
1244;Wilfried Kanga;0;0;33.3
1245;Lee Kangin;12;0;33.3
1246;N'Golo Kanté;22;0;33.3
1247;Stefanos Kapino;0;0;
1248;Wilfrid Kaptoum;1;0;28.6
1249;Kenan Karaman;22;0;46.0
1250;Yann Karamoh;5;0;10.0
1251;Mamoudou Karamoko;0;0;
1252;Florian Kastenmeier;0;0;
1253;Noah Katterbach;18;0;41.2
1254;Moise Kean;8;0;18.4
1255;Michael Keane;3;0;63.5
1256;Thilo Kehrer;3;0;54.5
1257;Jules Keita;2;0;25.0
1258;Naby Keïta;7;0;53.3
1259;Yannik Keitel;1;0;40.0
1260;Lloyd Kelly;10;0;36.0
1261;Martin Kelly;13;0;57.9
1262;Kenedy;19;0;38.5
1263;Jonjoe Kenny;51;0;50.8
1264;Franck Kessié;15;0;47.5
1265;Saîf-Eddine Khaoui;3;0;40.0
1266;Wahbi Khazri;22;0;31.8
1267;Rani Khedira;6;0;52.0
1268;Sami Khedira;11;0;50.0
1269;Kike;19;1;38.3
1270;Luca Kilian;0;0;45.6
1271;Max Kilman;0;0;52.4
1272;Joshua Kimmich;69;0;49.1
1273;Presnel Kimpembe;3;0;68.6
1274;Joshua King;25;0;36.8
1275;Giorgos Kiriakopoulos;32;0;42.9
1276;Simon Kjær;0;0;47.6
1277;Simon Kjær;0;0;70.8
1278;Davy Klaassen;23;2;48.3
1279;Felix Klaus;13;1;28.1
1280;Ragnar Klavan;0;0;47.2
1281;Timm Klose;0;0;51.6
1282;Lukas Klostermann;16;0;57.6
1283;Justin Kluivert;20;0;25.9
1284;Lukas Klünter;26;0;54.9
1285;Robin Knoche;4;0;56.8
1286;Robin Koch;4;0;65.9
1287;Giorgi Kochorashvili;0;0;
1288;Jonathan Kodjia;0;0;55.6
1289;Kenan Kodro;1;0;54.3
1290;Dominik Kohr;13;0;36.7
1291;Koke;35;1;48.3
1292;Aleksandar Kolarov;81;0;57.9
1293;Sead Kolašinac;29;0;57.1
1294;Timothée Kolodziejczak;22;0;61.0
1295;Ghislain Konan;36;0;37.0
1296;Ibrahima Konaté;3;0;85.7
1297;Moussa Konaté;1;0;34.9
1298;Geoffrey Kondogbia;0;0;50.6
1299;Kouadio Koné;1;0;36.0
1300;Lamine Koné;4;0;71.7
1301;Moussa Koné;0;0;15.4
1302;Youssouf Koné;20;0;50.0
1303;Ezri Konsa;8;0;51.6
1304;Pascal Köpke;1;0;30.8
1305;Laurent Koscielny;0;0;62.5
1306;Filip Kostić;223;0;72.4
1307;Christian Kouamé;1;0;33.3
1308;Christian Kouamé;4;2;46.2
1309;Nianzou Kouassi;0;0;73.3
1310;Tomáš Koubek;0;0;
1311;Kalidou Koulibaly;4;0;64.9
1312;Efthimis Koulouris;13;0;29.4
1313;Jules Koundé;9;0;74.5
1314;Leonardo Koutris;1;0;33.3
1315;Cheikhou Kouyaté;9;0;57.2
1316;Mateo Kovačić;14;0;29.6
1317;Dawid Kownacki;13;0;43.4
1318;İsmail Köybaşı;5;0;40.0
1319;Thomas Kraft;0;0;
1320;Emil Krafth;11;0;55.6
1321;Andrej Kramarić;20;0;29.6
1322;Christoph Kramer;7;0;68.6
1323;Tom Krauß;0;0;
1324;Ladislav Krejčí;19;0;55.0
1325;Rene Krhin;0;0;83.3
1326;Felix Kroos;1;0;44.4
1327;Toni Kroos;49;0;52.4
1328;Tim Krul;0;0;
1329;Rade Krunić;2;0;47.4
1330;Lukas Kübler;2;0;57.1
1331;Takefusa Kubo;57;2;26.5
1332;Juraj Kucka;26;1;55.7
1333;Dejan Kulusevski;56;1;26.1
1334;Marash Kumbulla;1;0;66.0
1335;Pierre Kunde;16;0;37.8
1336;Jasmin Kurtić;58;0;51.7
1337;Jasmin Kurtić;37;0;59.0
1338;Layvin Kurzawa;19;1;58.8
1339;Dereck Kutesa;8;0;27.3
1340;Ahmed Kutucu;9;0;34.4
1341;Enock Kwateng;23;0;72.5
1342;Antonino La Gumina;0;0;27.8
1343;Andrea La Mantia;3;0;66.0
1344;Gaëtan Laborde;33;1;48.9
1345;Alexandre Lacazette;17;1;25.6
1346;Riccardo Ladinetti;2;0;0.0
1347;Alban Lafont;1;0;
1348;Víctor Laguardia;4;0;69.0
1349;Jack Lahne;0;0;
1350;Konrad Laimer;7;0;42.9
1351;Stefan Lainer;85;0;51.4
1352;Diego Lainez;14;0;20.0
1353;Kenny Lala;71;0;63.3
1354;Adam Lallana;5;0;38.9
1355;Érik Lamela;10;1;20.8
1356;Tariq Lamptey;0;0;
1357;Tariq Lamptey;13;0;33.3
1358;Loïck Landre;0;0;64.7
1359;Michael Lang;14;0;58.8
1360;Sebastian Langkamp;0;0;66.7
1361;Henri Lansbury;2;0;25.0
1362;Manuel Lanzini;14;1;30.0
1363;Gianluca Lapadula;12;1;40.3
1364;Aymeric Laporte;0;0;66.7
1365;Danilo Larangeira;3;0;59.8
1366;Larra;9;1;38.5
1367;Gautier Larsonneur;0;0;
1368;Kevin Lasagna;27;0;32.3
1369;Jamaal Lascelles;0;0;68.6
1370;Paul Lasne;11;0;48.4
1371;Toni Lato;12;0;30.0
1372;Danny Latza;7;1;48.1
1373;Vincent Laurini;15;0;35.0
1374;Wesley Lautoa;2;0;43.4
1375;Diego Laxalt;11;0;35.3
1376;Diego Laxalt;11;0;28.6
1377;Valentino Lazaro;3;0;30.8
1378;Valentino Lazaro;11;0;40.0
1379;Darko Lazović;125;0;38.3
1380;Manuel Lazzari;119;0;14.3
1381;Mickaël Le Bihan;1;0;25.0
1382;Robin Le Normand;2;0;64.5
1383;Damien Le Tallec;10;0;51.2
1384;James Lea Siliki;14;0;63.6
1385;Rafael Leão;37;1;47.6
1386;Adrien Lebeau;0;0;0.0
1387;Mathew Leckie;2;0;71.4
1388;Benjamin Lecomte;0;0;
1389;Pierre Lees-Melou;32;0;51.9
1390;Jordan Lefort;6;0;59.1
1391;Wu Lei;24;0;42.5
1392;Toni Leistner;1;0;77.6
1393;Moritz Leitner;3;0;45.5
1394;Lucas Leiva;6;0;62.9
1395;Florian Lejeune;1;0;76.5
1396;Iñigo Lekue;25;0;47.4
1397;Nicolas Lemaître;0;0;
1398;Thomas Lemar;9;0;52.9
1399;Tim Lemperle;0;0;
1400;Clément Lenglet;0;0;67.0
1401;Aaron Lennon;9;0;27.3
1402;Bernd Leno;0;0;
1403;Christopher Lenz;61;0;53.7
1404;Donovan Léon;0;0;
1405;Pedro León;90;0;45.2
1406;Sergio León;5;0;42.3
1407;Lukas Lerager;11;0;55.9
1408;Mehdi Léris;19;0;31.3
1409;Jefferson Lerma;3;0;59.6
1410;Karlo Letica;0;0;
1411;Robert Lewandowski;27;1;56.9
1412;Jamal Lewis;35;0;32.4
1413;Aaron Leya Iseka;3;1;34.5
1414;Stephan Lichtsteiner;19;0;56.3
1415;Dimitri Liénard;50;0;42.3
1416;Philipp Lienhart;3;0;61.4
1417;Matthijs de Ligt;1;1;63.9
1418;Isaac Lihadji;0;0;33.3
1419;Lillo;6;0;80.0
1420;Anderson Lima;0;0;
1421;Lucas Lima;12;0;33.3
1422;Anthony Limbombe;7;0;0.0
1423;Victor Lindelöf;1;0;66.0
1424;Karol Linetty;30;0;37.8
1425;Jesse Lingard;5;0;9.1
1426;Pol Lirola;67;0;33.3
1427;Diego Llorente;1;1;57.3
1428;Fernando Llorente;1;0;54.9
1429;Marcos Llorente;18;1;41.7
1430;Gautier Lloris;0;0;55.6
1431;Hugo Lloris;0;0;
1432;Giovani Lo Celso;18;0;22.6
1433;Stanislav Lobotka;1;0;22.2
1434;Stanislav Lobotka;3;0;40.0
1435;Jürgen Locadia;4;0;47.4
1436;Jürgen Locadia;0;0;33.3
1437;Manuel Locatelli;26;0;45.9
1438;Renan Lodi;80;0;46.6
1439;Ruben Loftus-Cheek;1;0;20.0
1440;Enzo Loiodice;0;0;20.0
1441;Kevin Long;0;0;57.9
1442;Shane Long;21;0;47.1
1443;Matthew Longstaff;3;0;57.1
1444;Sean Longstaff;20;0;37.5
1445;Ademola Lookman;10;0;25.0
1446;Anthony Lopes;0;0;
1447;Rony Lopes;1;0;0.0
