;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
2405;John Stones;12;4;15;43.3
2406;Thomas Strakosha;0;0;2;0.0
2407;Tobias Strobl;14;4;10;31.5
2408;Christian Strohdiek;15;15;30;26.5
2409;Kevin Strootman;27;18;31;29.9
2410;Jens Stryger Larsen;22;19;38;25.3
2411;Stefano Sturaro;26;9;27;30.2
2412;Damián Suárez;49;36;45;31.2
2413;Denis Suárez;16;9;19;24.5
2414;Luis Suárez;2;0;13;25.1
2415;Mathías Suárez;2;2;2;18.2
2416;Neven Subotić;22;6;35;37.2
2417;Isaac Success;0;0;0;14.3
2418;Marek Suchý;4;4;3;44.4
2419;Niklas Süle;4;3;13;35.6
2420;Ki Sung-yueng;1;0;1;10.3
2421;Ki Sung-yueng;0;0;1;25.0
2422;Stoppila Sunzu;12;6;27;27.0
2423;Andrew Surman;2;3;4;24.4
2424;Sam Surridge;0;0;1;18.8
2425;Suso;2;5;4;31.3
2426;Suso;14;3;11;21.8
2427;Bosko Sutalo;2;0;4;25.6
2428;Markus Suttner;17;10;40;28.0
2429;Mattias Svanberg;14;4;22;20.9
2430;Issiaga Sylla;51;35;87;31.1
2431;Moussa Sylla;0;0;0;0.0
2432;Eddy Sylvestre;0;0;0;20.0
2433;Ádám Szalai;4;1;11;25.8
2434;Wojciech Szczęsny;0;0;0;0.0
2435;Andrea Tabanelli;12;8;20;22.8
2436;Tachi;1;1;9;25.0
2437;Panagiotis Tachtsidis;44;29;40;29.1
2438;Jonathan Tah;18;11;45;34.2
2439;Flavien Tait;14;6;10;26.3
2440;Mahdi Talal;0;0;3;25.0
2441;Adrien Tameze;7;5;9;22.0
2442;Adrien Tameze;3;0;5;30.8
2443;Japhet Tanganga;15;9;12;31.6
2444;Adil Taoui;2;0;0;0.0
2445;Edmond Tapsoba;19;14;23;32.8
2446;Matt Targett;33;20;68;29.3
2447;Rodrigo Tarín;7;8;10;34.7
2448;James Tarkowski;51;25;85;31.9
2449;Ciprian Tătărușanu;0;0;0;
2450;Júlio Tavares;7;1;12;24.6
2451;Charlie Taylor;16;17;60;29.0
2452;Neil Taylor;10;10;38;27.3
2453;Aurélien Tchouaméni;18;4;21;34.4
2454;Aurélien Tchouaméni;0;0;0;22.2
2455;Georg Teigl;0;0;4;27.8
2456;Álvaro Tejero;12;15;33;26.7
2457;Bernard Tekpetey;6;1;5;31.0
2458;Nathan Tella;0;0;0;0.0
2459;Cristian Tello;7;4;7;27.5
2460;Lino Tempelmann;0;0;1;0.0
2461;Łukasz Teodorczyk;5;2;1;22.8
2462;Hidde ter Avest;8;9;21;19.0
2463;Marc-André ter Stegen;0;1;0;40.0
2464;Simon Terodde;5;7;14;24.8
2465;Pietro Terracciano;0;0;0;0.0
2466;Martin Terrier;15;3;20;25.2
2467;Aleksa Terzić;0;0;0;0.0
2468;Kenny Tete;25;11;21;32.0
2469;Alexander Tettey;20;12;40;25.5
2470;Florian Thauvin;0;0;0;11.1
2471;Demba Thiam;0;0;1;
2472;Malick Thiaw;1;1;3;21.4
2473;Niclas Thiede;0;0;0;
2474;Jan Thielmann;7;4;11;25.9
2475;Sada Thioub;15;5;20;24.2
2476;Jordan Thomas;0;0;0;
2477;Luke Thomas;3;1;3;22.2
2478;Romain Thomas;23;8;53;39.6
2479;Adrien Thomasson;24;15;24;27.0
2480;Erik Thommy;27;14;41;30.0
2481;Max Thompson;0;0;0;
2482;Morten Thorsby;28;18;48;26.4
2483;Marcus Thuram;18;11;28;23.0
2484;Khéphren Thuram-Ulie;14;7;12;23.6
2485;Youri Tielemans;40;15;51;27.5
2486;Kieran Tierney;11;10;22;31.0
2487;Cheick Timite;0;0;2;33.3
2488;David Timor;6;3;10;27.5
2489;Marcel Tisserand;11;8;20;34.8
2490;Jean-Clair Todibo;1;0;3;42.9
2491;Jean-Clair Todibo;10;9;5;38.7
2492;Karl Toko Ekambi;2;1;1;31.6
2493;Karl Toko Ekambi;5;2;5;23.9
2494;Corentin Tolisso;8;1;9;38.4
2495;Jeremy Toljan;19;18;52;30.7
2496;Rafael Tolói;51;39;50;35.6
2497;Raúl de Tomás;5;1;11;22.0
2498;Takehiro Tomiyasu;28;24;65;30.5
2499;James Tomkins;14;12;33;32.6
2500;Fikayo Tomori;15;7;29;32.2
2501;Nenad Tomović;11;10;45;24.0
2502;Sandro Tonali;41;14;57;25.1
2503;Lorenzo Tonelli;11;6;14;31.9
2504;Toño;13;13;39;30.3
2505;Ömer Toprak;6;3;13;26.0
2506;Ernesto Torregrossa;8;5;17;19.2
2507;Lucas Torreira;24;12;29;25.3
2508;Ferrán Torres;15;4;40;20.6
2509;Óliver Torres;31;34;26;27.5
2510;Pau Torres;23;21;63;31.3
2511;Roberto Torres;20;12;57;25.1
2512;Lucas Torró;8;5;7;32.9
2513;Jordan Torunarigha;17;12;39;37.2
2514;Cenk Tosun;2;0;3;15.7
2515;Cenk Tosun;0;0;2;29.6
2516;Abdoulaye Touré;28;12;39;29.6
2517;Almamy Touré;24;6;35;32.3
2518;Lucas Tousart;39;15;35;32.0
2519;Andros Townsend;20;14;28;22.4
2520;Aleksandar Trajkovski;2;0;5;23.0
2521;Adama Traoré;23;10;28;26.7
2522;Adama Traoré;0;0;1;0.0
2523;Adama Traoré;3;2;13;21.0
2524;Amad Traoré;1;0;0;62.5
2525;Bertrand Traoré;12;9;19;28.0
2526;Charles Traore;29;31;34;27.6
2527;Hamari Traoré;39;27;42;29.2
2528;Ibrahima Traoré;2;1;1;18.2
2529;Ismaël Traoré;22;12;35;36.2
2530;Kevin Trapp;0;0;0;50.0
2531;Miguel Trauco;21;16;22;32.4
2532;Mark Travers;0;0;0;
2533;Luca Tremolada;0;0;0;16.7
2534;Trézéguet;28;7;41;24.3
2535;Manu Trigueros;21;10;30;24.6
2536;Christopher Trimmel;44;32;56;31.0
2537;Alessandro Tripaldelli;1;3;3;17.4
2538;Kieran Trippier;28;27;47;30.4
2539;William Troost-Ekong;19;8;58;32.7
2540;Leandro Trossard;16;9;29;26.8
2541;Tom Trybull;30;18;21;28.4
2542;Axel Tuanzebe;3;0;7;26.7
2543;Georgi Tunjov;7;1;4;31.0
2544;Stefano Turati;0;0;0;
2545;Gennaro Tutino;0;1;0;21.4
2546;Matthieu Udol;17;14;42;30.0
2547;Hwang Ui-jo;7;3;15;23.5
2548;Anthony Ujah;5;1;5;23.1
2549;Samir Ujkani;0;0;0;
2550;Sven Ulreich;0;0;0;
2551;Samuel Umtiti;9;5;3;43.2
2552;Enes Ünal;12;3;24;21.1
2553;Cengiz Ünder;7;3;11;27.0
2554;Dayot Upamecano;44;23;45;42.7
2555;Mark Uth;18;8;18;27.4
2556;Mark Uth;3;0;4;27.4
2557;Tomáš Vaclík;0;0;0;
2558;Álvaro Vadillo;9;6;17;32.1
2559;William Vainqueur;45;19;29;27.4
2560;Mirko Valdifiori;21;13;13;29.3
2561;Pierrick Valdivia;1;0;0;12.5
2562;Germán Valera;0;0;0;100.0
2563;Antoine Valerio;2;0;1;32.3
2564;Borja Valero;9;4;18;21.9
2565;Yan Valery;13;5;19;28.7
2566;Martin Valjent;21;13;80;29.8
2567;Jesús Vallejo;3;1;4;30.0
2568;Jesús Vallejo;2;3;9;32.8
2569;Manu Vallejo;2;3;5;22.1
2570;Luca Valls;0;0;1;0.0
2571;Theo Valls;19;9;23;26.5
2572;Mattia Valoti;33;10;31;23.2
2573;Federico Valverde;19;11;43;24.8
2574;Raphaël Varane;23;8;57;39.0
2575;Jamie Vardy;11;1;29;29.4
2576;Matías Vargas;10;5;9;32.6
2577;Ruben Vargas;24;14;38;24.4
2578;Thibaut Vargas;0;1;2;18.2
2579;Sebastian Vasiliadis;49;33;52;29.3
2580;Indiana Vassilev;1;0;0;29.2
2581;Denis Vavro;1;1;10;40.9
2582;Franco Vázquez;19;11;16;25.9
2583;Kevin Vázquez;15;13;33;28.3
2584;Lucas Vázquez;15;9;14;34.3
2585;Matías Vecino;17;5;31;25.5
2586;Koke Vegas;0;0;0;0.0
2587;Miloš Veljković;26;33;37;33.0
2588;Miguel Veloso;43;26;56;27.9
2589;Unai Vencedor Paris;0;0;0;22.2
2590;Lorenzo Venuti;9;9;9;24.4
2591;Brayan Vera;4;3;4;22.4
2592;Simone Verdi;12;8;19;26.1
2593;Jordan Veretout;25;12;48;27.7
2594;Marco Verratti;43;18;25;29.6
2595;Valerio Verre;17;8;12;32.6
2596;Birger Verstraete;12;3;10;25.8
2597;Jan Vertonghen;21;10;30;33.1
2598;Mikel Vesga;23;16;28;24.4
2599;Jannik Vestergaard;12;8;22;36.6
2600;Rúben Vezo;26;17;51;33.0
2601;Francesco Vicari;20;12;68;32.0
2602;Fede Vico;1;0;12;24.4
2603;Aleix Vidal;16;9;36;22.6
2604;Arturo Vidal;38;15;33;30.7
2605;Clément Vidal;0;0;5;14.3
2606;Nacho Vidal;28;21;59;31.3
2607;Ronaldo Vieira;30;10;29;23.5
2608;Mauro Vigorito;0;0;0;0.0
2609;Dídac Vilà;46;24;52;26.0
2610;Toni Villa;21;6;24;26.2
2611;Asier Villalibre;2;1;4;29.1
2612;Gonzalo Villar;2;2;6;22.8
2613;Iván Villar;0;0;0;
2614;Juan Villar;0;0;3;25.6
2615;Rúben Vinagre;13;11;20;32.5
2616;Luigi Vitale;0;0;1;0.0
2617;Vitolo;12;6;30;30.9
2618;Mattia Viviani;1;0;3;12.4
2619;Dušan Vlahović;2;3;10;25.0
2620;Kevin Vogt;6;6;18;35.4
2621;Kevin Vogt;8;8;24;38.0
2622;Jake Vokins;0;1;1;46.2
2623;Kevin Volland;11;3;22;30.3
2624;Mario Vrančić;15;14;14;23.5
2625;Stefan de Vrij;25;12;57;31.8
2626;Giacomo Vrioni;0;0;0;0.0
2627;Šime Vrsaljko;4;6;12;39.5
2628;Nikola Vukčević;24;11;25;22.8
2629;Matěj Vydra;2;2;12;25.5
2630;Molla Wagué;14;6;16;35.6
2631;Moussa Wagué;3;2;0;37.5
2632;Moussa Wagué;5;0;3;22.9
2633;Wakaso;28;10;24;26.3
2634;Walace;25;15;35;26.1
2635;Theo Walcott;8;5;18;23.8
2636;Luca Waldschmidt;6;3;16;27.8
2637;Kyle Walker;23;19;31;39.5
2638;Kyle Walker-Peters;8;7;24;29.6
2639;Kyle Walker-Peters;3;1;6;33.3
2640;Rémi Walter;1;1;1;50.0
2641;Sebastian Walukiewicz;10;8;33;27.0
2642;Aaron Wan-Bissaka;65;45;101;28.8
2643;Victor Wanyama;0;0;0;0.0
2644;Joel Ward;31;28;46;26.4
2645;James Ward-Prowse;56;37;67;29.5
2646;Daniel Wass;32;23;54;25.1
2647;Kelland Watts;0;1;0;
2648;Timothy Weah;1;0;0;43.8
2649;Adam Webster;25;16;66;38.7
2650;Wout Weghorst;9;2;27;28.1
2651;Julian Weigl;12;11;9;31.3
2652;Mitchell Weiser;30;18;34;34.6
2653;Danny Welbeck;9;1;12;31.0
2654;Wendell;50;32;47;39.5
2655;Oscar Wendt;17;12;61;30.8
2656;Timo Werner;11;3;17;24.6
2657;Ashley Westwood;30;17;45;25.0
2658;Connor Wickham;2;0;3;35.7
2659;Felix Wiedwald;0;0;0;0.0
2660;Georginio Wijnaldum;29;5;35;32.7
2661;Jetro Willems;19;10;32;28.3
2662;William;34;24;38;32.0
2663;Brandon Williams;5;8;36;24.1
2664;Iñaki Williams;13;8;14;28.7
2665;Neco Williams;2;3;7;33.3
2666;Willian;27;11;22;28.6
2667;Joe Willock;15;4;19;27.7
2668;Jack Wilshere;0;1;6;33.3
2669;Callum Wilson;12;1;18;26.8
2670;Harry Wilson;11;13;38;23.2
2671;Harry Winks;23;19;31;29.9
2672;Florian Wirtz;3;3;6;20.6
2673;Axel Witsel;31;10;34;30.6
2674;Hannes Wolf;2;2;0;32.1
2675;Marius Wolf;13;10;33;23.8
2676;Nick Woltemade;1;0;1;31.6
2677;Chris Wood;6;5;18;22.6
2678;Xeka;13;6;10;20.6
2679;Granit Xhaka;27;18;55;29.1
2680;Jawad El Yamiq;3;1;4;25.0
2681;Andriy Yarmolenko;10;5;8;27.5
2682;Yusuf Yazıcı;12;5;12;26.2
2683;DeAndre Yedlin;14;4;26;21.0
2684;Yoel;0;0;1;0.0
2685;Okay Yokuşlu;26;10;22;30.3
2686;Maya Yoshida;5;2;11;27.9
2687;Maya Yoshida;3;2;24;39.8
2688;Elie Youan;0;0;2;21.6
2689;Amin Younes;3;1;2;32.5
2690;Ashley Young;4;2;24;29.4
2691;Ashley Young;9;7;33;28.8
2692;Zaydou Youssouf;23;18;14;31.9
2693;Pablo Zabaleta;10;4;16;29.0
2694;Mattia Zaccagni;12;2;32;28.2
2695;Dan-Axel Zagadou;12;5;25;48.4
2696;Arthur Zagre;0;0;0;28.6
2697;Wilfried Zaha;31;10;33;29.2
2698;Denis Zakaria;54;17;45;33.2
2699;Joseba Zaldúa;39;24;56;26.2
2700;Andre-Frank Zambo Anguissa;45;25;49;26.4
2701;Luca Zanimacchia;1;1;1;27.3
2702;Nicolò Zaniolo;11;4;16;24.1
2703;Cristián Zapata;21;9;41;34.4
2704;Duván Zapata;4;3;24;28.7
2705;Davide Zappacosta;3;5;8;22.1
2706;Simone Zaza;9;3;14;22.3
2707;Marvin Zeegelaar;8;8;14;25.8
2708;Mootaz Zemzemi;0;0;0;
2709;Arber Zeneli;0;0;0;
2710;Robin Zentner;0;0;0;100.0
2711;Piotr Zieliński;17;10;53;27.7
2712;Jean Zimmer;4;6;5;19.0
2713;Christoph Zimmermann;21;16;33;30.9
2714;Matthias Zimmermann;39;28;80;29.8
2715;Oleksandr Zinchenko;16;17;20;32.4
2716;Leopold Zingerle;1;1;1;25.0
2717;Joshua Zirkzee;2;1;6;28.6
2718;Richairo Živković;2;0;1;33.3
2719;Jaromír Zmrhal;5;7;11;22.9
2720;Kévin Zohi;7;3;3;25.0
2721;Ben Zolinski;6;5;19;20.2
2722;Kurt Zouma;17;3;34;31.1
2723;Igor Zubeldia;37;11;58;29.1
2724;Steven Zuber;6;8;11;36.0
2725;Martín Zubimendi;13;7;8;31.4
2726;Ervin Zukanović;1;0;2;25.0
2727;Bongani Zungu;12;14;19;30.0
2728;Szymon Żurkowski;0;0;0;33.3
2729;David Zurutuza;1;0;2;23.1
2730;Martin Ødegaard;18;6;20;24.2
2731;Filip Đuričić;20;4;26;32.5
